    time   dayofyr        tmax        tmin         ppt     N2Oflux      NOflux     CH4oxid         NIT     CO2resp
 1959.0000    1     5.57    -8.40     0.00       1.2594       4.3619       4.3392      84.1740    3018.4248
 1959.0000    2     1.43   -10.60     0.00       1.0131       3.5088       4.3448      67.6658    2812.7122
 1959.0000    3     0.53   -19.34     0.00       0.7440       2.5770       4.2691      49.8438    2568.3954
 1959.0000    4    -9.38   -17.49     0.00       0.5724       1.9825       4.2634      38.7036    2406.2619
 1959.0000    5    -6.62   -13.98     0.00       0.5436       1.8830       4.3007      37.6514    2308.6792
 1959.0000    6     2.11    -9.36     0.00       0.5189       1.7974       4.4018      36.7702    2264.3776
 1959.0000    7    -2.66   -16.32     0.03       0.4974       0.0000       4.4473      35.9002    2258.1232
 1959.0000    8    -9.38   -19.23     0.02       0.4840       0.0000       4.4261      35.0483    2231.3905
 1959.0000    9    -5.66   -18.84     0.00       0.4711       0.0000       4.4262      34.2100    2209.2879
 1959.0000   10   -11.47   -19.25     0.00       0.4584       0.0000       4.4087      33.3862    2179.4358
 1959.0000   11    -9.29   -20.76     0.00       0.4474       1.5497       4.2324      32.5848    2047.3021
 1959.0000   12     3.85   -15.90     0.00       0.4364       1.5120       4.3402      31.7789    1988.7072
 1959.0000   13     5.54    -6.94     0.00       0.4256       1.4749       4.5101      30.9777    1991.5384
 1959.0000   14     4.03    -5.89     0.00       0.4151       1.4393       4.5937      30.2001    1992.5225
 1959.0000   15    -1.94    -7.89     0.00       0.4049       1.4043       4.6059      29.4447    1972.6007
 1959.0000   16    -9.30   -15.74     0.00       0.3948       1.3696       4.5168      28.7075    1905.0154
 1959.0000   17    -3.28   -15.39     0.00       0.3849       1.3358       4.5500      27.9740    1858.8316
 1959.0000   18     6.22   -14.69     0.00       0.3754       1.3041       4.6453      27.2472    1829.5304
 1959.0000   19     7.00   -11.60     0.00       0.3662       1.2740       4.7700      26.5295    1818.5960
 1959.0000   20     0.41   -12.06     0.00       0.3570       1.2434       4.8100      25.8241    1799.2021
 1959.0000   21     1.08   -12.35     0.00       0.3481       1.2143       4.8655      25.1382    1780.2171
 1959.0000   22     7.80   -11.28     0.00       0.3401       1.1899       4.9898      24.4789    1772.4788
 1959.0000   23    10.39    -8.47     0.00       0.3330       1.1698       5.1532      23.8450    1778.6454
 1959.0000   24    16.34    -6.27     0.00       0.3266       1.1537       5.3333      23.2347    1796.6221
 1959.0000   25     9.98    -5.66     0.00       0.3208       1.1401       5.4583      22.6463    1805.4919
 1959.0000   26     1.24    -3.06     0.00       0.3139       1.1191       5.5310      22.0751    1816.6119
 1959.0000   27    -0.34   -15.25     0.00       0.3074       1.1002       5.4301      21.5229    1765.6924
 1959.0000   28    -5.71   -14.23     0.00       0.3006       1.0783       5.4470      20.9873    1729.4240
