    time       N2Oflux        NOflux        N2flux      CH4_oxid           NIT      ANNPPT
 1959.92      0.049591      0.206741      0.000391      0.308775      1.711222    39.999985
 1960.92      0.037179      0.136506      0.011591      0.267535      0.921472    52.669998
 1961.92      0.039509      0.191170      0.019240      0.280472      0.936915    34.070011
 1962.92      0.027930      0.132759      0.000009      0.312843      0.601906    36.780003
 1963.92      0.044744      0.200401      0.000015      0.325294      1.369624    43.160000
 1964.92      0.057103      0.173245      0.012900      0.282383      2.177588    63.710003
 1965.92      0.039194      0.134863      0.010624      0.250624      1.328181    44.590004
 1966.92      0.019585      0.104283      0.000012      0.296353      0.589322    25.410004
 1967.92      0.022416      0.130589      0.000001      0.319212      0.514016    26.000000
 1968.92      0.027076      0.128129      0.000003      0.295137      0.778002    31.990002
 1969.92      0.030434      0.139322      0.016234      0.282606      1.005707    41.070011
 1970.92      0.029701      0.126382      0.003125      0.287243      0.774345    35.839996
 1971.92      0.029039      0.103906      0.000030      0.322317      0.924418    66.110001
 1972.92      0.019496      0.074791      0.010690      0.262371      0.555267    47.240009
 1973.92      0.038090      0.118044      0.009661      0.252635      1.222593    54.280003
 1974.92      0.018066      0.077875      0.002498      0.303661      0.484505    46.589996
 1975.92      0.019470      0.081961      0.008826      0.296257      0.441279    34.480003
 1976.92      0.031171      0.133172      0.007275      0.290118      1.099135    59.779995
 1977.92      0.034527      0.107440      0.008658      0.249314      1.179511    61.159992
 1978.92      0.019590      0.068043      0.006155      0.296032      0.457691    51.070011
 1979.92      0.025027      0.104605      0.007074      0.283786      0.755453    49.810005
 1980.92      0.014192      0.084050      0.000000      0.319253      0.353998    28.490002
 1981.92      0.024059      0.113414      0.000009      0.329370      0.735023    39.999985
 1982.92      0.021640      0.083097      0.007038      0.270108      0.529048    52.669998
 1983.92      0.021217      0.104759      0.007071      0.284089      0.468194    34.070011
 1984.92      0.015119      0.074361      0.000003      0.319161      0.337491    36.780003
 1985.92      0.027125      0.123547      0.000011      0.330263      0.837943    43.160000
 1986.92      0.036453      0.115019      0.006802      0.277378      1.343481    63.710003
 1987.92      0.028194      0.104641      0.005524      0.262098      0.926380    44.590004
 1988.92      0.014011      0.075894      0.000013      0.302161      0.417368    25.410004
 1989.92      0.017188      0.101766      0.000001      0.322975      0.395161    26.000000
 1990.92      0.022256      0.107221      0.000003      0.298452      0.644843    31.990002
 1991.92      0.026131      0.120144      0.012474      0.285350      0.860760    41.070011
 1992.92      0.026257      0.113435      0.004557      0.289114      0.693254    35.839996
 1993.92      0.027424      0.099253      0.000030      0.323829      0.882642    66.110001
 1994.92      0.018875      0.072846      0.010694      0.262956      0.543494    47.240009
 1995.92      0.038302      0.119873      0.009457      0.252342      1.252358    54.040001
 1996.92      0.018524      0.079779      0.002334      0.303745      0.498678    46.829998
 1997.92      0.020166      0.084678      0.009138      0.296040      0.457438    34.480003
 1998.92      0.032883      0.140096      0.007358      0.290062      1.158895    59.779995
 1999.92      0.036770      0.113167      0.009727      0.248499      1.261551    61.159992
 2000.92      0.020638      0.071720      0.006097      0.297092      0.481091    51.070011
 2001.92      0.027052      0.111798      0.007884      0.282874      0.818171    49.810005
 2002.92      0.015230      0.090262      0.000001      0.317404      0.376072    28.490002
 2003.92      0.017315      0.093260      0.000018      0.310064      0.440084    34.640011
