    time   dayofyr        tmax        tmin         ppt     N2Oflux      NOflux     CH4oxid         NIT     CO2resp
 1959.0000    1     5.57    -8.40     0.00       1.2557       4.3490       4.3392      84.1591    2967.2232
 1959.0000    2     1.43   -10.60     0.00       1.0092       3.4954       4.3448      67.6426    2764.9832
 1959.0000    3     0.53   -19.34     0.00       0.7406       2.5651       4.2691      49.8188    2524.8051
 1959.0000    4    -9.38   -17.49     0.00       0.5692       1.9716       4.2634      38.6781    2365.4261
 1959.0000    5    -6.62   -13.98     0.00       0.5406       1.8725       4.3007      37.6208    2269.5085
 1959.0000    6     2.11    -9.36     0.00       0.5159       1.7872       4.4018      36.7343    2225.9717
 1959.0000    7    -2.66   -16.32     0.03       0.4944       0.0000       4.4473      35.8592    2219.8388
 1959.0000    8    -9.38   -19.23     0.02       0.4810       0.0000       4.4261      35.0022    2193.5743
 1959.0000    9    -5.66   -18.84     0.00       0.4690       0.0000       4.4262      34.1589    2171.8630
 1959.0000   10   -11.47   -19.25     0.00       0.4576       0.0000       4.4087      33.3302    2142.5334
 1959.0000   11    -9.29   -20.76     0.00       0.4465       1.5468       4.2324      32.5242    2012.6545
 1959.0000   12     3.85   -15.90     0.00       0.4355       1.5089       4.3402      31.7140    1955.0739
 1959.0000   13     5.54    -6.94     0.00       0.4246       1.4717       4.5101      30.9092    1957.8835
 1959.0000   14     4.03    -5.89     0.00       0.4141       1.4358       4.5937      30.1281    1958.8766
 1959.0000   15    -1.94    -7.89     0.00       0.4038       1.4007       4.6059      29.3692    1939.3162
 1959.0000   16    -9.30   -15.74     0.00       0.3937       1.3658       4.5168      28.6287    1872.8967
 1959.0000   17    -3.28   -15.39     0.00       0.3838       1.3318       4.5500      27.8919    1827.5198
 1959.0000   18     6.22   -14.69     0.00       0.3742       1.3000       4.6453      27.1619    1798.7426
 1959.0000   19     7.00   -11.60     0.00       0.3650       1.2697       4.7700      26.4411    1788.0237
 1959.0000   20     0.41   -12.06     0.00       0.3557       1.2390       4.8100      25.7326    1768.9873
 1959.0000   21     1.08   -12.35     0.00       0.3468       1.2098       4.8655      25.0455    1750.3522
 1959.0000   22     7.80   -11.28     0.00       0.3388       1.1853       4.9898      24.3851    1742.7754
 1959.0000   23    10.39    -8.47     0.00       0.3317       1.1652       5.1532      23.7500    1748.8708
 1959.0000   24    16.34    -6.27     0.00       0.3253       1.1489       5.3333      23.1385    1766.5780
 1959.0000   25     9.98    -5.66     0.00       0.3194       1.1352       5.4583      22.5489    1775.3297
