    time       N2Oflux        NOflux        N2flux      CH4_oxid           NIT      ANNPPT
 1959.92      0.048412      0.201967      0.000384      0.308867      1.670150    39.999985
 1960.92      0.036359      0.133800      0.010400      0.267594      0.901024    52.669998
 1961.92      0.038547      0.186997      0.017924      0.280575      0.912683    34.070011
 1962.92      0.027215      0.129649      0.000007      0.313041      0.587066    36.780003
 1963.92      0.065223      0.257572      0.000014      0.325606      2.472364    43.160000
 1964.92      0.094892      0.264848      0.070059      0.283119      4.381298    63.710003
 1965.92      0.075674      0.310151      0.049635      0.249019      2.824188    44.590004
 1966.92      0.068783      0.360178      0.000017      0.292011      2.519806    25.410004
 1967.92      0.078420      0.411656      0.004271      0.311953      2.711935    26.000000
 1968.92      0.094117      0.487098      0.000002      0.289417      3.604361    31.990002
 1969.92      0.091512      0.381326      0.122759      0.279886      3.788157    41.070011
 1970.92      0.115953      0.450661      0.027948      0.283889      3.676836    35.839996
 1971.92      0.113743      0.363703      0.000112      0.317077      4.774261    66.110001
 1972.92      0.240310      0.382527      0.093489      0.255127      3.336195    47.240009
 1973.92      0.124268      0.302163      0.054717      0.252007      4.392850    54.280003
 1974.92      0.066878      0.244941      0.012113      0.301992      2.548009    46.589996
 1975.92      0.082799      0.264840      0.053989      0.289802      2.137928    34.480003
 1976.92      0.104843      0.395936      0.006985      0.291295      4.618570    59.779995
 1977.92      0.146942      0.339344      0.067577      0.255713      4.943815    61.159992
 1978.92      0.114645      0.263849      0.041010      0.291322      2.337181    51.070011
 1979.92      0.090319      0.340289      0.049839      0.273918      2.993148    49.810005
 1980.92      0.064031      0.345221      0.000001      0.309014      2.046405    28.490002
 1981.92      0.097632      0.433322      0.000009      0.314939      3.623278    39.999985
 1982.92      0.110759      0.355332      0.047983      0.266708      3.376720    52.669998
 1983.92      0.084785      0.364538      0.026116      0.283206      2.753806    34.070011
 1984.92      0.065936      0.302037      0.002005      0.307295      2.342313    36.780003
 1985.92      0.098095      0.391921      0.000036      0.318007      3.660052    43.160000
 1986.92      0.131017      0.357477      0.067848      0.280759      6.109500    63.710003
 1987.92      0.110824      0.422804      0.051807      0.247917      4.430743    44.590004
 1988.92      0.085065      0.443385      0.000028      0.291202      3.172885    25.410004
 1989.92      0.092369      0.480566      0.004527      0.310962      3.332535    26.000000
 1990.92      0.106581      0.547287      0.000002      0.284795      4.212812    31.990002
 1991.92      0.104693      0.442192      0.078307      0.282067      4.509321    41.070011
 1992.92      0.135615      0.526159      0.031810      0.283120      4.399979    35.839996
 1993.92      0.130892      0.416958      0.000119      0.315990      5.741194    66.110001
 1994.92      0.367286      0.411568      0.129147      0.253899      3.818511    47.240009
 1995.92      0.153455      0.365906      0.065460      0.250978      5.748795    54.040001
 1996.92      0.080675      0.294748      0.015203      0.301209      3.196230    46.829998
 1997.92      0.104201      0.312496      0.078135      0.288685      2.551074    34.480003
 1998.92      0.121394      0.457359      0.004446      0.290239      5.350476    59.779995
 1999.92      0.184312      0.403653      0.088165      0.254902      6.257254    61.159992
 2000.92      0.210936      0.331851      0.068688      0.292582      2.972610    51.070011
 2001.92      0.107094      0.392205      0.059174      0.274247      3.607173    49.810005
 2002.92      0.072292      0.392274      0.000002      0.308299      2.349094    28.490002
 2003.92      0.076562      0.368614      0.000233      0.293706      2.535707    34.640011
